,BRD Ref,BRD Type,SW Pos,StreamingIP,CH,Mantid_DetectorID_Start,Mantid_Detector_ID_Lenght,Comment
6,ADC6-S2,PC3544M4,SP6,192.168.2.126,3,,256,Tube: B1-PACK 2 Tube 8
6,ADC6-S2,PC3544M4,SP6,192.168.2.126,4,,256,Tube: B1-PACK 2 Tube 9
6,ADC6-S2,PC3544M4,SP6,192.168.2.126,5,,256,Tube: B1-PACK 2 Tube 10
6,ADC6-S3,PC3544M4,SP6,192.168.2.127,0,,256,Tube: B1-PACK 3 Tube 1
6,ADC6-S3,PC3544M4,SP6,192.168.2.127,1,,256,Tube: B1-PACK 3 Tube 2
6,ADC6-S3,PC3544M4,SP6,192.168.2.127,2,,256,Tube: B1-PACK 3 Tube 3
6,ADC6-S3,PC3544M4,SP6,192.168.2.127,3,,256,Tube: B1-PACK 3 Tube 4
6,ADC6-S3,PC3544M4,SP6,192.168.2.127,4,,256,Tube: B1-PACK 3 Tube 5
6,ADC6-S3,PC3544M4,SP6,192.168.2.127,5,,256,Tube: B1-PACK 3 Tube 6
7,ADC7-S0,PC3544M4,SP7,192.168.2.128,0,,256,Tube: B1-PACK 3 Tube 7
7,ADC7-S0,PC3544M4,SP7,192.168.2.128,1,,256,Tube: B1-PACK 3 Tube 8
7,ADC7-S0,PC3544M4,SP7,192.168.2.128,2,,256,Tube: B1-PACK 4 Tube 1
7,ADC7-S0,PC3544M4,SP7,192.168.2.128,3,,256,Tube: B1-PACK 4 Tube 5
7,ADC7-S0,PC3544M4,SP7,192.168.2.128,4,,256,Tube: B1-PACK 4 Tube 3
7,ADC7-S0,PC3544M4,SP7,192.168.2.128,5,,256,Tube: B1-PACK 4 Tube 4
7,ADC7-S1,PC3544M4,SP7,192.168.2.129,0,,256,Tube: B1-PACK 4 Tube 5
7,ADC7-S1,PC3544M4,SP7,192.168.2.129,1,,256,Tube: B1-PACK 4 Tube 6
7,ADC7-S1,PC3544M4,SP7,192.168.2.129,2,,256,Tube: B1-PACK 4 Tube 7
7,ADC7-S1,PC3544M4,SP7,192.168.2.129,3,,256,Tube: B1-PACK 4 Tube 8
7,ADC7-S1,PC3544M4,SP7,192.168.2.129,4,,256,Tube: B1-PACK 5 Tube 1
7,ADC7-S1,PC3544M4,SP7,192.168.2.129,5,,256,Tube: B1-PACK 5 Tube 5
7,ADC7-S2,PC3544M4,SP7,192.168.2.130,0,,256,Tube: B1-PACK 5 Tube 3
7,ADC7-S2,PC3544M4,SP7,192.168.2.130,1,,256,Tube: B1-PACK 5 Tube 4
7,ADC7-S2,PC3544M4,SP7,192.168.2.130,2,,256,Tube: B1-PACK 5 Tube 5
7,ADC7-S2,PC3544M4,SP7,192.168.2.130,3,,256,Tube: B1-PACK 5 Tube 6
7,ADC7-S2,PC3544M4,SP7,192.168.2.130,4,,256,Tube: B1-PACK 5 Tube 7
7,ADC7-S2,PC3544M4,SP7,192.168.2.130,5,,256,Tube: B1-PACK 5 Tube 8
7,ADC7-S3,PC3544M4,SP7,192.168.2.131,0,,256,Tube: B1-PACK 6 Tube 1
7,ADC7-S3,PC3544M4,SP7,192.168.2.131,1,,256,Tube: B1-PACK 6 Tube 5
7,ADC7-S3,PC3544M4,SP7,192.168.2.131,2,,256,Tube: B1-PACK 6 Tube 3
7,ADC7-S3,PC3544M4,SP7,192.168.2.131,3,,256,Tube: B1-PACK 6 Tube 4
7,ADC7-S3,PC3544M4,SP7,192.168.2.131,4,,256,Tube: B1-PACK 6 Tube 5
7,ADC7-S3,PC3544M4,SP7,192.168.2.131,5,,256,Tube: B1-PACK 6 Tube 6
8,ADC8-S0,PC3544M4,SP8,192.168.2.132,0,,256,Tube: B1-PACK 6 Tube 7
8,ADC8-S0,PC3544M4,SP8,192.168.2.132,1,,256,Tube: B1-PACK 6 Tube 8
8,ADC8-S0,PC3544M4,SP8,192.168.2.132,2,,256,Tube: B1-PACK 6 Tube 9
8,ADC8-S0,PC3544M4,SP8,192.168.2.132,3,,256,Tube: B1-PACK 6 Tube 10
8,ADC8-S0,PC3544M4,SP8,192.168.2.132,4,,256,Tube: B2-PACK 1 Tube 1
8,ADC8-S0,PC3544M4,SP8,192.168.2.132,5,,256,Tube: B2-PACK 1 Tube 2
8,ADC8-S1,PC3544M4,SP8,192.168.2.133,0,,256,Tube: B2-PACK 1 Tube 3
8,ADC8-S1,PC3544M4,SP8,192.168.2.133,1,,256,Tube: B2-PACK 1 Tube 4
8,ADC8-S1,PC3544M4,SP8,192.168.2.133,2,,256,Tube: B2-PACK 1 Tube 5
8,ADC8-S1,PC3544M4,SP8,192.168.2.133,3,,256,Tube: B2-PACK 1 Tube 6
8,ADC8-S1,PC3544M4,SP8,192.168.2.133,4,,256,Tube: B2-PACK 1 Tube 7
8,ADC8-S1,PC3544M4,SP8,192.168.2.133,5,,256,Tube: B2-PACK 1 Tube 8
8,ADC8-S2,PC3544M4,SP8,192.168.2.134,0,,256,Tube: B2-PACK 2 Tube 1
8,ADC8-S2,PC3544M4,SP8,192.168.2.134,1,,256,Tube: B2-PACK 2 Tube 2
8,ADC8-S2,PC3544M4,SP8,192.168.2.134,2,,256,Tube: B2-PACK 2 Tube 3
8,ADC8-S2,PC3544M4,SP8,192.168.2.134,3,,256,Tube: B2-PACK 2 Tube 4
8,ADC8-S2,PC3544M4,SP8,192.168.2.134,4,,256,Tube: B2-PACK 2 Tube 5
8,ADC8-S2,PC3544M4,SP8,192.168.2.134,5,,256,Tube: B2-PACK 2 Tube 6
8,ADC8-S3,PC3544M4,SP8,192.168.2.135,0,,256,Tube: B2-PACK 2 Tube 7
8,ADC8-S3,PC3544M4,SP8,192.168.2.135,1,,256,Tube: B2-PACK 2 Tube 8
8,ADC8-S3,PC3544M4,SP8,192.168.2.135,2,,256,Tube: B2-PACK 2 Tube 9
8,ADC8-S3,PC3544M4,SP8,192.168.2.135,3,,256,Tube: B2-PACK 2 Tube 10
8,ADC8-S3,PC3544M4,SP8,192.168.2.135,4,,256,Tube: B2-PACK 3 Tube 1
8,ADC8-S3,PC3544M4,SP8,192.168.2.135,5,,256,Tube: B2-PACK 3 Tube 2
9,ADC9-S0,PC3544M4,SP9,192.168.2.136,0,,256,Tube: B2-PACK 3 Tube 3
9,ADC9-S0,PC3544M4,SP9,192.168.2.136,1,,256,Tube: B2-PACK 3 Tube 4
